GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testpaul,com.pruebatest.testpaul.entities,ptPersona,0,45,0,0,0,19,0,13,0,13
testpaul,com.pruebatest.testpaul.entities,ptMovimientos,78,3,0,0,21,1,13,1,13,1
testpaul,com.pruebatest.testpaul.entities,ptCliente,0,17,0,0,0,7,0,5,0,5
testpaul,com.pruebatest.testpaul.entities,ptEstadoCliente,14,3,0,0,6,1,4,1,4,1
testpaul,com.pruebatest.testpaul.entities,ptTipoMovimientos,14,3,0,0,6,1,4,1,4,1
testpaul,com.pruebatest.testpaul.entities,ptCuenta,0,38,0,0,0,16,0,11,0,11
testpaul,com.pruebatest.testpaul.entities,ptEstadoCuenta,14,3,0,0,6,1,4,1,4,1
testpaul,com.pruebatest.testpaul.entities,ptTipoCuenta,14,3,0,0,6,1,4,1,4,1
testpaul,com.pruebatest.testpaul.exception,ptCuentaException,9,0,0,0,4,0,2,0,2,0
testpaul,com.pruebatest.testpaul.entities.dto,ptCuentaReporteDto,59,0,0,0,25,0,17,0,17,0
testpaul,com.pruebatest.testpaul.services,ptEstadoCuentaService,75,3,8,0,19,1,9,1,5,1
testpaul,com.pruebatest.testpaul.services,ptClienteService,60,18,7,1,15,5,7,3,3,3
testpaul,com.pruebatest.testpaul.services,ptPersonaService,75,3,8,0,19,1,9,1,5,1
testpaul,com.pruebatest.testpaul.services,ptTipoCuentaService,75,3,8,0,19,1,9,1,5,1
testpaul,com.pruebatest.testpaul.services,ptMovimientosService,166,3,16,0,40,1,15,1,7,1
testpaul,com.pruebatest.testpaul.services,ptTipoMovimientosService,75,3,8,0,19,1,9,1,5,1
testpaul,com.pruebatest.testpaul.services,ptEstadoClienteService,75,3,8,0,19,1,9,1,5,1
testpaul,com.pruebatest.testpaul.services,ptCuentaService,179,3,12,0,35,1,12,1,6,1
testpaul,com.pruebatest.testpaul,TestpaulApplication,8,7,0,0,3,3,1,2,1,2
testpaul,com.pruebatest.testpaul,RecordNotFoundException,9,0,0,0,4,0,2,0,2,0
testpaul,com.pruebatest.testpaul.controllers,ptCuentaController,63,17,0,0,10,3,5,2,5,2
testpaul,com.pruebatest.testpaul.controllers,ptPersonaController,61,3,0,0,10,1,5,1,5,1
testpaul,com.pruebatest.testpaul.controllers,ptEstadoCuentaController,61,3,0,0,10,1,5,1,5,1
testpaul,com.pruebatest.testpaul.controllers,ptMovimientosController,60,3,0,0,10,1,5,1,5,1
testpaul,com.pruebatest.testpaul.controllers,ptTipoCuentaController,61,3,0,0,10,1,5,1,5,1
testpaul,com.pruebatest.testpaul.controllers,ptTipoMovimientosController,61,3,0,0,10,1,5,1,5,1
testpaul,com.pruebatest.testpaul.controllers,ptClienteController,48,16,0,0,8,3,4,2,4,2
testpaul,com.pruebatest.testpaul.controllers,ptEstadoClienteController,61,3,0,0,10,1,5,1,5,1
